DISTRICT,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,SUP Total,SUP # Retained,SUP % Retained,PRNC Total,PRNC # Retained,PRNC % Retained,TCHR Total,TCHR # Retained,TCHR % Retained,Total FTE Memb,General Fund Appropriations,"Grants, Revolving & Other Funds",Total Expenditures,Expenditure Per Pupil,SATs Taken,SAT Reading,SAT Writing,SAT Math,EngNot1stLang#,EngNot1stLang%,EngLangLrn#,EngLangLrn%,Disab#,Disab%,HighNeeds#,HighNeeds%,EconDisadv#,EconDisadv%,# Graduated,# Completed MassCore,% Completed MassCore,SCI P+A #,SCI P+A %,SCI A#,SCI A %,SCI P#,SCI P %,SCI NI #,SCI NI %,SCI W/F #,SCI W/F %,SCI Stud. Incl. #,SCI CPI,SCI SGP,SCI Incl. in SGP(#),MTH P+A #,MTH P+A %,MTH A #,MTH A %,MTH P #,MTH P %,MTH NI #,MTH NI %,MTH W/F #,MTH W/F %,MTH Stud. Incl. #,MTH CPI,MTH SGP,MTH Incl. in SGP(#),ELA P+A #,ELA P+A %,ELA A #,ELA A %,ELA P #,ELA P %,ELA NI #,ELA NI %,ELA W/F #,ELA W/F %,ELA Stud. Incl. #,ELA CPI,ELA SGP,ELA Incl. in SGP(#)
Taunton,11.4,1.4,11.2,71.2,0.3,0.2,4.3,51.9,48.1,1,1,100,13,11,84.6,516,476,92.2,"8,101.90","$84,534,863","$12,617,452","$97,152,315","$11,991",246,502,484,504,649,8.2,264,3.3,"1,526",19,"3,856",47.9,"2,901",36.7,415,0,0,632,36,147,8,485,28,807,46,314,18,1753,70.1,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
TEC Connections Academy Commonwealth Virtual School District,8.9,2.5,10.1,71.6,0.3,0.3,6.3,39.2,60.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8,,,,14,3.5,0,0,63,15.9,157,39.7,119,30.1,#N/A,#N/A,#N/A,25,32,0,0,25,32,36,47,16,21,77,65.9,N/A,N/A,63,114,42,39,14,75,28,80,30,76,28,270,67.4,20,61,186,71,39,15,147,56,62,24,15,6,263,87.6,34
Tewksbury,1.8,3.1,2.1,92.3,0,0.1,0.6,51.2,48.8,1,1,100,7,6,85.7,249,232,93.2,"3,905.60","$47,805,712","$5,968,380","$53,774,092","$13,768",180,507,500,523,57,1.6,29,0.8,648,17.4,985,26.4,440,12,209,209,100,503,55,106,12,397,43,324,35,93,10,920,80.1,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
The Sizer School: A North Central Charter Essential (District),4.6,0.8,15,76.6,0,0,3,50.1,49.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,33,495,473,494,17,4.6,6,1.6,82,22.3,167,45.5,100,27.2,#N/A,#N/A,#N/A,48,41,9,8,39,33,46,39,23,20,117,69,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Tisbury,3,0.6,21.5,65.9,2.4,0.3,6.3,52.9,47.1,1,1,100,1,1,100,42,37,88.1,398.7,"$8,068,649","$403,296","$8,471,945","$21,249",#N/A,#N/A,#N/A,#N/A,88,26.6,60,18.1,48,14.5,153,46.2,88,26.6,#N/A,#N/A,#N/A,44,70,13,21,31,49,16,25,3,5,63,89.3,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Topsfield,0.7,1.3,2.3,93.5,0,0,2.3,49.8,50.2,1,1,100,2,2,100,53,43,81.1,612.6,"$7,995,352","$934,664","$8,930,016","$14,577",#N/A,#N/A,#N/A,#N/A,8,1.3,2,0.3,109,17.7,122,19.8,17,2.8,#N/A,#N/A,#N/A,59,60,22,22,37,37,36,36,4,4,99,85.1,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Tri County Regional Vocational Technical,0.8,0.2,4.2,91.5,0.2,0,3,57.8,42.2,1,1,100,1,1,100,90,81,90,#N/A,#N/A,#N/A,#N/A,#N/A,148,486,461,495,0,0,0,0,280,27.5,405,39.8,179,17.6,235,235,100,193,79,44,18,149,61,45,18,7,3,245,91.5,N/A,N/A,251,221,83,127,48,94,35,33,12,11,4,265,92.6,54,252,254,96,87,33,167,63,10,4,1,0,265,98.4,37
Triton,0.5,1.6,2.4,93.9,0.1,0.1,1.3,51.5,48.5,1,1,100,5,4,80,220,195,88.6,"2,947.50","$35,966,116","$5,917,167","$41,883,283","$14,210",151,515,507,539,55,2,11,0.4,409,14.7,743,26.7,420,15.3,181,181,100,364,60,78,13,286,47,206,34,36,6,606,84.2,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Truro,6.3,1.6,7.8,77.3,0,0,7,53.1,46.9,1,1,100,1,1,100,17,16,94.1,232.4,"$5,063,782","$525,694","$5,589,476","$24,051",#N/A,#N/A,#N/A,#N/A,0,0,0,0,23,17.7,54,41.5,37,28.9,#N/A,#N/A,#N/A,10,59,4,24,6,35,7,41,0,0,17,86.8,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Tyngsborough,1.8,6.3,3.5,84.8,0.2,0.1,3.3,50.8,49.2,1,1,100,3,2,66.7,138,122,88.4,"1,934.40","$21,509,682","$2,613,334","$24,123,016","$12,471",115,516,492,534,67,3.8,1,0.1,267,15,423,23.7,187,10.6,119,119,100,239,59,65,16,174,43,150,37,17,4,406,85.5,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
