DISTRICT,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,SUP Total,SUP # Retained,SUP % Retained,PRNC Total,PRNC # Retained,PRNC % Retained,TCHR Total,TCHR # Retained,TCHR % Retained,Total FTE Memb,General Fund Appropriations,"Grants, Revolving & Other Funds",Total Expenditures,Expenditure Per Pupil,SATs Taken,SAT Reading,SAT Writing,SAT Math,EngNot1stLang#,EngNot1stLang%,EngLangLrn#,EngLangLrn%,Disab#,Disab%,HighNeeds#,HighNeeds%,EconDisadv#,EconDisadv%,# Graduated,# Completed MassCore,% Completed MassCore,SCI P+A #,SCI P+A %,SCI A#,SCI A %,SCI P#,SCI P %,SCI NI #,SCI NI %,SCI W/F #,SCI W/F %,SCI Stud. Incl. #,SCI CPI,SCI SGP,SCI Incl. in SGP(#),MTH P+A #,MTH P+A %,MTH A #,MTH A %,MTH P #,MTH P %,MTH NI #,MTH NI %,MTH W/F #,MTH W/F %,MTH Stud. Incl. #,MTH CPI,MTH SGP,MTH Incl. in SGP(#),ELA P+A #,ELA P+A %,ELA A #,ELA A %,ELA P #,ELA P %,ELA NI #,ELA NI %,ELA W/F #,ELA W/F %,ELA Stud. Incl. #,ELA CPI,ELA SGP,ELA Incl. in SGP(#)
Abby Kelley Foster Charter Public (District),42.6,4.2,24.5,25,0.1,0.1,3.4,47.4,52.6,1,1,100,3,2,66.7,120,104,86.7,#N/A,#N/A,#N/A,#N/A,#N/A,76,487,486,481,345,24.2,101,7.1,147,10.3,658,46.1,436,30.5,86,86,100,190,59,43,13,147,45,115,35,19,6,324,83.6,N/A,N/A,670,442,55,189,24,253,31,262,33,100,12,804,78.9,49,666,559,70,106,13,453,56,194,24,51,6,804,87.1,55
Abington,2,1.6,4,91.6,0.3,0.1,0.4,51.3,48.7,1,1,100,5,4,80,131,115,87.8,"2,036.70","$24,027,141","$2,422,821","$26,449,962","$12,987",93,489,476,498,91,4.7,34,1.7,263,13.2,591,29.7,337,17.2,98,36,36.7,185,46,32,8,153,38,172,43,42,11,399,77.4,N/A,N/A,865,615,56,227,21,388,36,325,30,152,14,1092,79.1,50,861,752,69,179,16,573,53,269,25,65,6,1086,87.5,53
Academy Of the Pacific Rim Charter Public,59,1,21,15.8,0,0,3.3,45.5,54.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,38,493,465,477,31,6,1,0.2,121,23.3,246,47.4,152,29.3,#N/A,#N/A,#N/A,89,42,24,11,65,31,84,40,39,18,212,71.7,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Acton-Boxborough,1.4,29.4,3.3,61.8,0.2,0,3.7,52,48,1,1,100,2,1,50,194,176,90.7,"2,987.90","$38,553,800","$6,077,277","$44,631,077","$14,937",441,608,610,636,882,15.6,202,3.6,979,17,"1,326",23.1,224,4,513,365,71.2,1142,82,493,35,649,47,201,14,50,4,1393,92.7,N/A,N/A,2442,2638,84,1797,57,841,27,366,12,122,4,3126,93.2,62,2489,2701,87,1106,36,1595,51,338,11,72,2,3111,95,55
Acushnet,0.3,0.3,1.2,97.9,0,0,0.2,51.6,48.4,1,1,100,2,2,100,70,63,90,"1,285.60","$13,827,824","$1,070,792","$14,898,616","$11,589",1,,,,15,1.5,7,0.7,190,19.1,325,32.6,170,17.5,#N/A,#N/A,#N/A,98,51,22,11,76,40,69,36,25,13,192,77.2,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Adams-Cheshire,4,0.7,1.6,92.7,0.5,0.2,0.3,51.3,48.7,1,0,0,3,2,66.7,103,93,90.3,"1,511.80","$17,128,450","$2,510,485","$19,638,935","$12,990",58,471,467,479,12,0.9,5,0.4,298,22,648,47.9,492,36.4,83,29,34.9,108,34,12,4,96,31,154,49,52,17,314,69.5,N/A,N/A,552,318,44,116,16,202,28,257,35,153,21,728,70.6,39.5,578,399,55,80,11,319,44,242,33,82,11,723,79.5,42
Advanced Math and Science Academy Charter (District),2.9,25.1,5.3,62.5,0.6,0.1,3.5,52.1,47.9,1,1,100,1,1,100,87,78,89.7,#N/A,#N/A,#N/A,#N/A,#N/A,129,619,623,670,197,19.7,1,0.1,36,3.6,96,9.6,61,6.1,101,101,100,252,89,106,38,146,52,29,10,1,0,282,96.5,N/A,N/A,529,481,85,336,59,145,26,64,11,20,4,565,93.1,54,535,528,93,243,43,285,50,34,6,3,1,565,97.7,55
Agawam,1.7,2.5,5.7,87.7,0.1,0.1,2.1,51.2,48.8,1,1,100,8,8,100,306,291,95.1,"4,175.50","$51,830,624","$5,152,052","$56,982,676","$13,647",220,493,484,515,269,6.6,164,4,664,16,"1,561",37.6,"1,037",25.3,299,212,70.9,450,50,102,11,348,39,349,39,102,11,901,77.7,N/A,N/A,1730,1372,65,612,29,760,36,534,25,220,10,2126,83.6,47,1722,1463,69,327,15,1136,53,495,23,170,8,2128,87,42
Alma del Mar Charter School,15.4,0.8,45.4,29.6,2.5,0.4,5.8,46.3,53.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,41,17.1,27,11.3,44,18.3,163,67.9,128,53.3,#N/A,#N/A,#N/A,11,28,0,0,11,28,19,48,10,25,40,65,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Amesbury,3.1,1,4.8,87.9,0.1,0.1,3,52.7,47.3,1,1,100,4,4,100,165,153,92.7,"2,511.60","$29,496,781","$3,765,786","$33,262,567","$13,244",88,544,542,545,56,2.5,35,1.5,456,19.7,748,32.3,401,17.6,148,148,100,312,61,83,16,229,45,153,30,45,9,510,84.2,N/A,N/A,963,782,63,381,31,401,32,300,24,166,13,1248,81.5,47,965,918,74,257,21,661,53,242,19,87,7,1247,89.1,47
Amesbury Academy Charter Public (District),0,2.2,4.3,89.1,0,0,4.3,54.3,45.7,1,1,100,1,0,0,9,7,77.8,#N/A,#N/A,#N/A,#N/A,#N/A,5,,,,0,0,0,0,25,54.3,34,73.9,24,52.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Amherst,8.6,13.9,20.6,48.7,0.3,0.2,7.8,50.5,49.5,1,1,100,4,2,50,121,103,85.1,"1,287.10","$23,615,972","$1,574,890","$25,190,862","$19,572",#N/A,#N/A,#N/A,#N/A,277,23.1,182,15.2,212,17.6,569,47.3,331,27.6,#N/A,#N/A,#N/A,89,55,23,14,66,40,56,34,18,11,163,80.7,N/A,N/A,369,391,60,209,32,182,28,167,26,96,15,654,79.4,53,443,408,63,124,19,284,44,157,24,85,13,650,81.8,49
Amherst-Pelham,7.4,9.4,13.5,61.2,0.1,0.1,8.4,52.7,47.3,1,1,100,2,2,100,148,127,85.8,"1,619.00","$28,509,009","$3,180,919","$31,689,928","$19,574",192,582,567,587,243,16.9,62,4.3,289,19.8,505,34.7,238,16.5,237,96,40.5,347,78,103,23,244,55,68,15,32,7,447,89.5,N/A,N/A,585,518,76,316,46,202,29,86,13,81,12,685,87,57,592,590,86,248,36,342,50,67,10,27,4,684,94.2,54
Andover,1.9,15.3,5,74.8,0.2,0,2.8,50.3,49.7,1,1,100,12,12,100,453,415,91.6,"6,263.20","$86,403,709","$8,705,525","$95,109,234","$15,185",398,568,567,586,641,10.5,145,2.4,"1,057",17.2,"1,419",23,334,5.5,433,433,100,1014,69,327,22,687,47,390,27,67,5,1471,88.6,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Argosy Collegiate Charter School (District),16.5,0,20.4,58.3,1,0,3.9,56.3,43.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11,10.7,11,10.7,20,19.4,53,51.5,38,36.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Arlington,3.7,11.3,5.6,74.5,0.1,0.2,4.6,49.6,50.4,1,1,100,9,7,77.8,362,318,87.8,"5,231.10","$59,336,557","$9,111,733","$68,448,290","$13,085",275,578,571,583,594,11.4,226,4.3,755,14.2,"1,302",24.5,422,8.1,291,291,100,797,75,304,29,493,47,220,21,43,4,1060,90.2,N/A,N/A,2106,2163,79,1287,47,876,32,410,15,160,6,2733,90.7,56,2112,2345,86,1041,38,1304,48,314,11,79,3,2738,94.5,58
Ashburnham-Westminster,0.7,0.9,4,92.1,0,0,2.3,50.7,49.3,1,1,100,4,4,100,161,142,88.2,"2,364.50","$25,872,406","$3,947,479","$29,819,885","$12,611",143,515,507,517,44,1.9,37,1.6,417,17.6,690,29.2,324,13.8,145,81,55.9,316,61,81,16,235,45,162,31,39,8,517,84,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Ashland,2.4,9.7,8.4,76.3,0.5,0,2.8,49.2,50.8,1,1,100,5,4,80,182,163,89.6,"2,706.60","$31,010,735","$4,907,769","$35,918,504","$13,271",145,552,523,576,429,16.5,92,3.5,383,14.6,651,24.8,243,9.4,187,152,81.3,362,64,99,17,263,46,166,29,38,7,566,85,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Assabet Valley Regional Vocational Technical,1.1,0.9,12,83.1,0.5,0,2.4,55.4,44.6,1,0,0,1,1,100,100,93,93,#N/A,#N/A,#N/A,#N/A,#N/A,120,466,437,457,120,11.3,15,1.4,355,33.6,522,49.3,219,20.7,228,203,89,216,85,61,24,155,61,35,14,3,1,254,94.4,N/A,N/A,262,205,75,98,36,107,39,55,20,13,5,273,90,50,260,259,96,70,26,189,70,12,4,0,0,271,98.5,40
Athol-Royalston,1.8,0.7,6.4,88.7,0.1,0,2.3,54.5,45.5,1,1,100,5,3,60,112,100,89.3,"1,772.10","$21,373,028","$2,333,955","$23,706,983","$13,378",41,480,463,483,29,2.1,21,1.5,394,27.6,804,56.2,617,43.7,69,67,97.1,101,35,15,5,86,30,143,50,41,14,285,71.3,N/A,N/A,558,280,38,84,12,196,27,251,34,198,27,729,66.4,44,552,359,50,55,8,304,42,250,35,115,16,724,76.1,43
Atlantis Charter,3.6,1.9,8,83.3,0.1,0,3.1,45.2,54.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,130,14.7,27,3.1,96,10.8,381,43.1,310,35,#N/A,#N/A,#N/A,86,44,13,7,73,37,85,44,24,12,195,74.6,N/A,N/A,454,289,54,101,19,188,35,182,34,67,12,538,78,40,453,324,61,35,7,289,54,181,34,30,6,535,84.3,41
Attleboro,4.4,4.5,13.6,71.8,0.2,0.2,5.3,52.6,47.4,1,0,0,9,7,77.8,401,366,91.3,"6,241.40","$70,170,903","$9,576,359","$79,747,262","$12,777",272,486,483,493,827,14,456,7.7,"1,022",17.1,"2,501",41.9,"1,560",26.3,379,298,78.6,654,52,123,10,531,42,474,38,134,11,1262,79.7,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Auburn,1.4,3.5,5.5,86.2,0.3,0,3.1,49.6,50.4,1,1,100,6,6,100,175,161,92,"2,392.90","$29,002,251","$2,880,069","$31,882,320","$13,324",135,505,491,511,124,5.2,64,2.7,266,11.2,613,25.7,336,14.2,164,135,82.3,312,58,77,14,235,44,184,34,44,8,540,82.9,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Avon,28.3,4.7,5.9,55.9,0.8,0,4.3,49.7,50.3,1,0,0,2,1,50,66,60,90.9,746.2,"$8,508,612","$1,518,272","$10,026,884","$13,437",36,468,473,474,25,3.4,4,0.5,110,14.8,262,35.2,173,23.3,46,45,97.8,80,47,21,12,59,35,72,43,17,10,169,76.9,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Ayer Shirley School District,4.7,2.4,10.9,77.5,0.4,0.4,3.9,51.5,48.5,1,1,100,4,4,100,140,119,85,#N/A,#N/A,#N/A,#N/A,#N/A,39,505,478,528,102,6.2,53,3.2,401,23.7,701,41.4,382,23.1,67,22,32.8,191,52,29,8,162,45,141,39,32,9,364,81.3,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Barnstable,7.4,2.6,8.9,75.7,0.8,0.3,4.5,50.6,49.4,1,1,100,7,6,85.7,390,347,89,"5,547.70","$72,694,619","$10,106,272","$82,800,891","$14,925",243,511,494,514,725,14.7,360,7.3,817,16.4,"2,099",42.1,"1,333",27,350,0,0,600,54,137,12,463,42,386,35,124,11,1110,80.2,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Barnstable Community Horace Mann Charter Public,7.2,3.1,13.1,72.9,1,0.7,2.1,49.1,50.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,93,32,64,22,27,9.3,163,56,110,37.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,N/A,51,71,22,31,29,40,11,15,10,14,72,83.3,N/A,N/A,42,58,7,10,35,49,25,35,5,7,72,82.6,N/A
Baystate Academy Charter Public School (District),31.2,0.5,59.2,7.3,0,0,1.8,47.7,52.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,31,14.2,15,6.9,30,13.8,152,69.7,135,61.9,#N/A,#N/A,#N/A,9,12,0,0,9,12,43,59,21,29,73,55.1,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bedford,6.9,12.1,5.1,71.7,0.1,0.1,4,50.3,49.7,1,1,100,4,3,75,213,189,88.7,"2,632.20","$42,036,132","$3,305,266","$45,341,398","$17,226",197,565,555,585,298,11.8,139,5.5,436,16.8,727,28,211,8.4,196,190,96.9,403,68,140,23,263,44,169,28,25,4,597,87.4,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Belchertown,1.1,1.7,3.5,91.5,0,0.2,2,51.6,48.4,1,1,100,5,4,80,174,159,91.4,"2,557.90","$27,949,777","$2,618,345","$30,568,122","$11,950",138,520,517,533,54,2.3,15,0.6,369,15.5,655,27.4,377,15.9,196,43,21.9,373,68,85,16,288,53,142,26,33,6,548,86.8,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bellingham,1.8,3.5,2.9,90.2,0.2,0,1.4,51.7,48.3,1,1,100,7,6,85.7,181,171,94.5,"2,539.10","$28,935,326","$4,019,843","$32,955,169","$12,979",127,491,469,500,108,4.5,31,1.3,404,16.8,708,29.5,365,15.3,147,147,100,300,62,81,17,219,45,151,31,35,7,486,83.3,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Belmont,3.6,17.4,3.8,69,0.1,0.1,6.1,49.6,50.4,1,1,100,6,5,83.3,256,225,87.9,"4,271.80","$47,626,682","$7,048,816","$54,675,498","$12,799",271,590,584,614,844,19.7,225,5.3,405,9.3,881,20.2,258,6,270,270,100,738,80,325,35,413,45,148,16,38,4,924,91.7,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Benjamin Banneker Charter Public (District),80.7,1.2,15.3,1.2,0.9,0,0.9,46.1,53.9,1,1,100,1,1,100,23,18,78.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,50,14.4,14,4,39,11.2,198,57.1,167,48.1,#N/A,#N/A,#N/A,27,68,5,13,22,55,10,25,3,8,40,85.6,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Benjamin Franklin Classical Charter Public,0.9,20.7,1.8,72.7,0.2,0,3.8,48,52,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,33,7.3,0,0,37,8.2,48,10.7,13,2.9,#N/A,#N/A,#N/A,70,70,12,12,58,58,29,29,1,1,100,90.3,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Berkley,0.6,0.1,2,95.8,0,0,1.5,50.6,49.4,1,1,100,2,2,100,61,57,93.4,882.7,"$9,570,798","$1,524,412","$11,095,210","$12,570",#N/A,#N/A,#N/A,#N/A,1,0.1,1,0.1,140,16.3,226,26.4,111,13,#N/A,#N/A,#N/A,69,35,4,2,65,33,92,47,34,17,195,71.3,N/A,N/A,444,283,52,102,19,181,33,185,34,79,14,547,77.5,39,445,365,67,58,11,307,56,138,25,45,8,548,86.2,40
Berkshire Arts and Technology Charter Public,15,2.1,4.2,75.4,0,0.6,2.7,48.8,51.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,20,526,486,506,6,1.8,3,0.9,71,21.3,179,53.6,133,39.8,#N/A,#N/A,#N/A,42,48,6,7,36,41,32,37,13,15,87,78.2,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Berkshire Hills,1.5,2.3,6,85.2,0.1,0.4,4.4,51.3,48.7,1,1,100,3,3,100,117,108,92.3,"1,492.20","$19,990,055","$4,248,683","$24,238,738","$16,244",98,546,523,526,86,6.4,29,2.2,206,15.3,477,35.4,299,22.3,126,126,100,184,55,44,13,140,42,119,35,33,10,336,79.8,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Berlin,0.5,1.6,4.3,89.8,0,0,3.8,61.8,38.2,1,1,100,1,0,0,23,21,91.3,207.2,"$3,298,064","$532,914","$3,830,978","$18,489",#N/A,#N/A,#N/A,#N/A,9,4.8,5,2.7,40,21.5,64,34.4,21,11.3,#N/A,#N/A,#N/A,22,76,11,38,11,38,7,24,0,0,29,91.4,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Berlin-Boylston,1.5,2.2,1.3,92.4,0,0,2.7,47.5,52.5,1,1,100,1,1,100,36,34,94.4,629,"$7,673,820","$1,102,116","$8,775,936","$13,952",54,541,516,524,20,3.6,9,1.6,99,17.6,139,24.7,37,6.7,69,65,94.2,134,80,45,27,89,53,28,17,5,3,167,92.7,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Beverly,2.8,2.1,9.4,83,0,0.1,2.7,51.1,48.9,1,0,0,7,7,100,306,280,91.5,"4,597.80","$53,120,024","$7,193,795","$60,313,819","$13,118",240,515,506,516,233,5.2,101,2.2,862,18.7,"1,657",36,974,21.6,306,301,98.4,505,52,144,15,361,37,358,37,105,11,968,79.3,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Billerica,1.9,5.8,3.8,86,0,0.2,2.3,51.1,48.9,1,1,100,9,8,88.9,397,367,92.4,"5,640.70","$73,921,555","$7,218,155","$81,139,710","$14,385",253,512,506,522,294,5.7,51,1,935,17.9,"1,474",28.2,650,12.6,354,354,100,538,48,158,14,380,34,468,42,116,10,1122,77.2,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Blackstone Valley Regional Vocational Technical,0.5,0.6,3,94,0,0.1,1.9,47.6,52.4,1,1,100,1,1,100,95,83,87.4,#N/A,#N/A,#N/A,#N/A,#N/A,235,507,489,530,12,1,2,0.2,133,11.2,223,18.8,103,8.7,279,268,96.1,260,92,120,43,140,50,21,7,1,0,282,97.6,N/A,N/A,288,276,94,192,66,84,29,17,6,0,0,293,98,57,287,291,100,177,61,114,39,0,0,1,0,292,99.7,54
Blackstone-Millville,1.1,1,5,90.3,0.1,0,2.5,50.3,49.7,1,0,0,4,4,100,137,112,81.8,"1,934.90","$21,544,299","$2,069,501","$23,613,800","$12,204",59,508,491,524,62,3.5,44,2.5,278,15.5,531,29.6,289,16.3,125,125,100,229,55,59,14,170,41,153,37,35,8,417,81.8,N/A,N/A,794,611,62,252,26,359,37,265,27,103,11,979,82.8,50.5,796,705,72,170,17,535,55,220,22,56,6,981,88.8,50
Blue Hills Regional Vocational Technical,21.2,0.9,8.3,64.4,0.9,0.1,4.2,54.9,45.1,1,1,100,1,1,100,77,66,85.7,#N/A,#N/A,#N/A,#N/A,#N/A,116,449,425,457,31,3.6,4,0.5,200,23.3,333,38.8,167,19.4,190,190,100,177,82,41,19,136,63,36,17,2,1,215,93.4,N/A,N/A,197,179,80,92,41,87,39,39,17,6,3,224,91.9,49,196,219,98,83,37,136,61,5,2,0,0,224,99.3,48
Boston,33.6,8.5,40.9,13.8,0.3,0.2,2.7,52,48,1,0,0,120,92,76.7,"4,711","3,792",80.5,"67,790.30","$1,106,528,148","$135,285,805","$1,241,813,953","$18,318","2,522",439,436,472,"25,743",47.4,"16,168",29.8,"10,671",19.5,"39,328",71.9,"26,754",49.3,"3,231","1,240",38.4,2748,27,598,6,2150,21,4286,42,3278,32,10312,60.6,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
